name	x	y	z
Fp1	71.53	35.26	93.48
AFp1	67.26	18.07	99.13
AFz	60.91	5.45	106.25
AF3	56.14	32.78	98.93
AF7	60.84	49.40	69.07
AFF5h	46.52	47.72	89.10
AFF1h	39.50	19.56	115.03
F1	20.26	26.52	122.81
F3	25.75	45.00	104.33
F5	33.38	57.17	82.59
F7	40.30	61.43	57.79
F9	39.13	70.51	27.36
FFT9h	32.21	65.98	34.69
FFT7h	21.35	65.72	67.19
FFC5h	12.67	57.37	94.01
FFC3h	5.22	41.92	115.64
FFC1h	4.00	15.12	130.80
FCz	-10.97	-3.45	135.88
FC1	-11.22	29.28	128.71
FC3	-6.77	53.99	107.74
FC5	4.94	67.38	75.57
FT7	13.05	70.42	49.04
FT9	26.68	67.59	21.57
FTT9h	7.26	73.32	30.98
FTT7h	-5.23	72.01	56.30
FCC5h	-16.17	64.91	88.21
FCC3h	-24.94	47.39	116.04
FCC1h	-30.69	13.97	132.21
C1	-47.45	24.38	124.58
C3	-38.81	56.17	99.27
C5	-26.47	71.23	66.94
T7	-11.81	75.13	37.98
TTP7h	-35.38	72.91	44.65
CCP5h	-50.21	62.21	76.43
CCP3h	-58.46	44.43	103.85
CCP1h	-63.54	13.09	120.10
CP1	-77.00	20.55	105.44
CP3	-67.50	51.17	83.25
CP5	-55.09	65.54	54.16
TP7	-42.76	72.49	26.34
TPP9h	-57.21	64.48	12.41
TPP7h	-62.10	62.74	34.92
CPP5h	-72.10	53.02	62.26
CPP3h	-84.06	32.43	85.04
CPP1h	-88.82	5.37	94.38
P1	-95.97	13.92	76.70
P3	-89.28	37.04	63.76
P5	-80.00	49.26	42.08
P7	-70.33	56.87	18.25
PPO5h	-91.90	36.55	40.55
PPO1h	-100.40	1.07	57.71
POz	-102.56	-15.15	44.00
PO3	-101.72	17.46	40.61
PO7	-91.64	35.42	17.20
PPO9h	-74.25	52.08	1.58
POO9h	-91.39	32.96	4.56
O1	-97.67	14.58	16.34
POO1	-103.69	0.12	29.15
OI1h	-96.54	1.87	4.01
Iz	-89.90	-14.36	-12.13
Cz	-46.09	-8.97	129.73
C2	-43.04	-40.93	121.08
C4	-25.29	-68.78	100.10
C6	-9.70	-80.50	65.59
T8	-0.80	-83.28	34.97
FTT10h	21.89	-77.11	31.57
FTT8h	7.36	-79.64	58.53
FCC6h	-3.70	-74.73	87.54
