name	x	y	z
Fp1	93.99	28.33	48.31
AFp1	95.06	19.84	65.01
AFz	90.50	1.67	77.78
AF3	85.69	28.19	72.67
AF7	75.33	51.30	43.61
AFF5h	73.32	46.81	67.50
AFF1h	78.50	17.42	88.68
F1	58.06	27.78	101.38
F3	54.84	44.83	87.61
F5	51.50	61.42	63.72
F7	57.25	66.35	37.39
F9	52.66	67.05	8.44
FFT9h	42.47	72.12	20.58
FFT7h	40.79	71.72	53.80
FFC5h	41.15	61.26	78.83
FFC3h	40.08	43.93	100.45
FFC1h	45.91	18.26	112.45
FCz	28.43	2.35	121.12
FC1	29.83	33.39	113.45
FC3	30.80	54.93	95.05
FC5	27.39	73.21	66.17
FT7	25.23	77.36	34.66
FT9	33.61	75.23	7.32
FTT9h	16.56	80.70	22.54
FTT7h	13.28	79.63	50.68
FCC5h	13.28	70.94	82.46
FCC3h	12.22	49.15	110.31
FCC1h	15.23	19.16	122.82
C1	-3.55	35.63	119.96
C3	-4.96	65.26	97.40
C5	-2.85	79.73	64.10
T7	0.66	82.54	33.55
TTP7h	-16.44	82.23	45.74
CCP5h	-19.80	75.23	81.96
CCP3h	-22.44	54.78	108.83
CCP1h	-24.09	22.85	125.85
CP1	-39.98	37.82	116.91
CP3	-37.38	64.19	95.39
CP5	-31.99	78.92	64.14
TP7	-27.23	79.05	34.29
TPP9h	-38.56	77.43	24.00
TPP7h	-45.24	76.17	49.43
CPP5h	-50.83	70.21	76.73
CPP3h	-56.65	52.80	99.01
CPP1h	-60.10	27.11	110.61
P1	-72.35	35.38	97.94
P3	-67.88	56.44	85.45
P5	-62.12	69.40	62.11
P7	-54.63	72.90	36.55
PPO5h	-79.44	53.86	64.64
PPO1h	-86.69	24.98	83.51
POz	-96.27	10.46	69.97
PO3	-90.55	40.57	63.12
PO7	-82.02	55.99	40.78
PPO9h	-60.42	73.11	21.88
O1	-93.87	35.61	32.39
POO1	-97.04	25.92	54.29
O9	-86.11	33.50	2.28
OI1h	-91.16	24.76	15.96
Iz	-86.59	7.19	0.97
Cz	-10.40	-1.20	128.25
C2	-12.26	-31.04	118.69
C4	-8.86	-58.93	94.06
C6	-4.97	-73.18	61.67
T8	1.25	-75.30	27.76
FTT10h	20.82	-73.91	12.02
FTT8h	13.49	-73.34	45.02
FCC6h	10.08	-66.08	78.17
FCC4h	7.96	-46.86	105.17
FCC2h	5.41	-16.70	122.94
FC2	29.18	-38.66	114.25
FC4	23.39	-57.93	88.49
FC6	29.38	-67.72	61.15
FT8	31.51	-71.41	30.10
FT10	36.28	-69.25	-1.23
FFT10h	41.88	-69.30	13.98
FFT8h	44.93	-66.41	44.25
FFC6h	42.07	-60.99	72.61
FFC4h	40.37	-41.24	98.67
FFC2h	41.90	-14.69	114.39
Fz	60.85	-1.32	107.49
F2	58.95	-24.53	101.26
F4	57.81	-47.16	81.51
F6	61.43	-57.44	58.44
F8	55.01	-64.99	32.35
F10	48.40	-65.45	-0.71
AFF6h	72.05	-49.58	63.55
AFF2h	73.99	-18.07	93.15
AF4	81.78	-35.08	71.72
AF8	77.00	-52.17	39.09
FP2	95.22	-29.52	45.54
AFp2	96.42	-18.16	61.59
Oz	-98.07	9.37	32.34
OI2h	-93.56	-4.13	15.35
POO10h	-89.21	-25.82	17.34
O2	-95.53	-18.58	29.98
POO2	-99.07	-4.26	47.19
PO4	-90.64	-26.77	57.43
PO8	-81.36	-43.56	30.34
PPO10h	-61.95	-54.96	14.29
PPO6h	-77.89	-46.44	54.77
