name	x	y	z
Fp1	96.98	32.43	64.00
AFp1	94.30	20.56	85.89
AFz	86.36	8.97	97.27
AF3	83.91	34.04	89.21
AF7	80.45	55.55	58.91
AFF5h	71.85	56.31	80.10
AFF1h	68.53	24.71	108.77
F1	46.95	32.66	117.36
F3	49.20	52.19	103.24
F5	56.23	66.84	77.91
F7	56.83	72.25	49.99
F9	55.64	72.88	10.41
FFT9h	47.73	76.28	30.52
FFT7h	44.50	76.52	61.62
FFC5h	37.04	67.31	91.71
FFC3h	33.56	45.88	114.56
FFC1h	31.96	19.81	129.97
FCz	14.15	3.52	137.39
FC1	15.50	35.74	126.87
FC3	18.45	62.88	105.72
FC5	20.73	79.62	75.79
FT7	30.03	81.48	40.44
FT9	35.86	79.14	8.36
FTT9h	20.25	81.90	24.07
FTT7h	9.02	83.44	54.74
FCC5h	4.59	75.23	90.34
FCC3h	-4.89	53.06	119.17
FCC1h	-5.05	21.32	136.08
C1	-23.70	34.21	129.94
C3	-18.47	66.34	102.67
C5	-9.88	82.00	69.71
T7	-0.26	84.09	32.33
TTP7h	-20.05	83.55	47.09
CCP5h	-33.36	74.53	77.88
CCP3h	-39.46	51.58	111.79
CCP1h	-43.62	21.06	129.17
CP1	-60.56	33.94	112.00
CP3	-53.54	60.12	91.57
CP5	-44.33	75.92	56.93
TP7	-35.19	80.82	28.20
TPP9h	-50.41	73.89	14.09
TPP7h	-53.61	72.43	40.00
CPP5h	-60.05	64.62	73.00
CPP3h	-70.07	43.72	94.93
CPP1h	-75.54	15.70	106.98
P1	-84.22	26.17	89.82
P3	-79.18	47.22	72.25
P5	-66.59	64.98	50.53
P7	-62.96	68.30	23.32
PPO5h	-87.68	43.63	48.28
PPO1h	-94.07	14.95	76.16
POz	-101.60	-2.37	61.63
PO3	-98.19	26.75	53.52
PO7	-81.70	52.62	22.79
PPO9h	-72.00	61.55	10.77
POO9h	-95.24	38.14	18.49
O1	-101.17	18.75	22.34
POO1	-103.33	9.36	41.31
OI1h	-105.56	5.18	10.07
Iz	-103.27	-10.81	-4.99
Cz	-25.49	-2.47	140.22
C2	-22.66	-35.43	135.00
C4	-13.57	-67.07	110.02
C6	-5.49	-84.49	75.46
T8	5.06	-88.26	40.11
FTT10h	23.97	-85.47	34.78
FTT8h	14.80	-85.84	59.93
FCC6h	10.20	-75.39	96.37
FCC4h	-0.46	-50.13	123.95
FCC2h	-5.02	-17.09	138.64
FC2	13.53	-31.17	131.80
FC4	20.29	-62.45	110.03
FC6	29.31	-80.34	80.47
FT8	33.45	-85.20	48.77
FT10	43.82	-81.80	18.83
FFT10h	48.00	-79.88	30.76
FFT8h	46.47	-80.63	62.32
FFC6h	41.64	-68.62	93.91
FFC4h	35.69	-44.54	119.04
FFC2h	33.65	-13.30	131.94
Fz	48.02	0.23	127.35
F2	53.30	-21.82	122.17
F4	54.68	-52.74	104.61
F6	62.35	-67.61	79.23
F8	62.42	-74.77	48.73
F10	58.07	-77.44	15.20
AFF6h	75.19	-56.96	82.62
AFF2h	68.65	-17.46	114.00
AF4	85.49	-35.56	91.13
AF8	85.31	-58.14	57.11
FP2	100.34	-32.00	68.96
AFp2	96.76	-19.86	82.67
Oz	-104.75	-6.23	24.75
OI2h	-101.44	-20.20	11.17
POO10h	-87.94	-51.30	18.41
O2	-99.59	-30.08	26.07
POO2	-101.75	-25.09	41.51
PO4	-97.31	-33.44	57.29
PO8	-83.92	-55.05	32.05
PPO10h	-65.00	-69.98	13.38
PPO6h	-80.54	-56.59	52.27
PPO2h	-93.63	-25.80	77.44
Pz	-85.06	-6.81	96.07
P2	-83.57	-31.52	94.55
P4	-76.69	-52.32	78.52
P6	-67.59	-67.07	54.79
